development_family,model_label,outcome,sample_variant,term,coefficient,standard_error,ci_lower,ci_upper,p_value,estimation_n,psu_count,fe_region_count,weight_method,clustering_method,se_note
model_A_household_region_fe,A1_household_natural_sample,haz,A1_natural_sample,country_admin_region_ethiopia::03,-0.1196005019546823,0.10252505456197115,-0.32054591640914976,0.08134491249978512,0.24339254123652898,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_A_household_region_fe,A1_household_natural_sample,haz,A1_natural_sample,country_admin_region_ethiopia::04,0.21181213970609902,0.11101686197040174,-0.005776911432542775,0.4294011908447408,0.05640056901017785,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_A_household_region_fe,A1_household_natural_sample,haz,A1_natural_sample,country_admin_region_ethiopia::05,0.7888362519960387,0.14327324418821183,0.5080258534389308,1.0696466505531466,3.674602583045928e-08,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_A_household_region_fe,A1_household_natural_sample,haz,A1_natural_sample,country_admin_region_ethiopia::06,-0.22115826469559768,0.15606007887270465,-0.527030398710579,0.08471386931938363,0.15644333990795328,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_A_household_region_fe,A1_household_natural_sample,haz,A1_natural_sample,country_admin_region_ethiopia::07,0.28481973567984453,0.11428548617589447,0.06082429881944115,0.5088151725402479,0.012696251325177658,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_A_household_region_fe,A1_household_natural_sample,haz,A1_natural_sample,country_admin_region_ethiopia::08,0.21217915949739577,0.11808204980242672,-0.0192574053360256,0.44361572433081714,0.0723548258661671,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_A_household_region_fe,A1_household_natural_sample,haz,A1_natural_sample,country_admin_region_ethiopia::09,0.12344304225700198,0.13474532685808477,-0.1406529454699218,0.38753902998392575,0.35960336185944186,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_A_household_region_fe,A1_household_natural_sample,haz,A1_natural_sample,country_admin_region_ethiopia::10,0.0795734682719556,0.11675576151433079,-0.14926361928368045,0.3084105558275917,0.495531238480453,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_A_household_region_fe,A1_household_natural_sample,haz,A1_natural_sample,country_admin_region_ethiopia::12,1.1285643915381791,0.14947348462025414,0.8356017450387794,1.4215270380375788,4.343741220966188e-14,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_A_household_region_fe,A1_household_natural_sample,haz,A1_natural_sample,country_admin_region_ethiopia::13,0.1926557245910282,0.1276683930203381,-0.05756972769293933,0.44288117687499573,0.13129053701384064,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_A_household_region_fe,A1_household_natural_sample,haz,A1_natural_sample,country_admin_region_ethiopia::14,0.20713404191387325,0.11625972415452543,-0.020730830281557977,0.43499891410930447,0.07480645952731661,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_A_household_region_fe,A1_household_natural_sample,haz,A1_natural_sample,country_admin_region_ethiopia::15,0.3339099600336043,0.14944736181689947,0.040998513287954896,0.6268214067792537,0.0254634637466927,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_A_household_region_fe,A1_household_natural_sample,haz,A1_natural_sample,country_admin_region_ghana::01,0.7501436611121804,0.1145087498605431,0.5257106354708101,0.9745766867535508,5.716362024423885e-11,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_A_household_region_fe,A1_household_natural_sample,haz,A1_natural_sample,country_admin_region_ghana::02,0.6500727933389818,0.12896917473664454,0.3972978557393055,0.9028477309386582,4.6424812284965595e-07,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_A_household_region_fe,A1_household_natural_sample,haz,A1_natural_sample,country_admin_region_ghana::03,0.6197976683939455,0.1331512160688661,0.35882608040125696,0.880769256386634,3.242316592074495e-06,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_A_household_region_fe,A1_household_natural_sample,haz,A1_natural_sample,country_admin_region_ghana::04,0.5756370407537631,0.13359981987299177,0.31378620546166064,0.8374878760458655,1.6424196177530916e-05,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_A_household_region_fe,A1_household_natural_sample,haz,A1_natural_sample,country_admin_region_ghana::05,0.7427705574715249,0.10603626891556647,0.5349432893420105,0.9505978256010392,2.4721063339891878e-12,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_A_household_region_fe,A1_household_natural_sample,haz,A1_natural_sample,country_admin_region_ghana::06,0.7254350635699535,0.117442326520162,0.4952523333298427,0.9556177938100643,6.535286869978675e-10,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_A_household_region_fe,A1_household_natural_sample,haz,A1_natural_sample,country_admin_region_ghana::07,0.822533350630925,0.12499247709568045,0.5775525971849438,1.0675141040769063,4.683555295345117e-11,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_A_household_region_fe,A1_household_natural_sample,haz,A1_natural_sample,country_admin_region_ghana::08,0.7796079395516956,0.10097814885197968,0.5816944045762908,0.9775214745271004,1.1581897202411045e-14,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_A_household_region_fe,A1_household_natural_sample,haz,A1_natural_sample,country_admin_region_ghana::09,0.6939908721839765,0.14396501709056395,0.4118246236527778,0.9761571207151751,1.431614273179668e-06,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_A_household_region_fe,A1_household_natural_sample,haz,A1_natural_sample,country_admin_region_ghana::10,0.8457051953204439,0.10771655764364191,0.6345846218002731,1.0568257688406146,4.1204598312141145e-15,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_A_household_region_fe,A1_household_natural_sample,haz,A1_natural_sample,country_admin_region_ghana::11,0.6115367722977154,0.10718651384190868,0.40145506553917043,0.8216184790562604,1.1610302119439834e-08,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_A_household_region_fe,A1_household_natural_sample,haz,A1_natural_sample,country_admin_region_ghana::12,0.3656159987261095,0.10506551771361212,0.15969136799037464,0.5715406294618444,0.0005016276344318466,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_A_household_region_fe,A1_household_natural_sample,haz,A1_natural_sample,country_admin_region_ghana::13,0.6284669452920342,0.11019981799359083,0.41247927092172715,0.8444546196623413,1.1773338843000272e-08,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_A_household_region_fe,A1_household_natural_sample,haz,A1_natural_sample,country_admin_region_ghana::14,0.5565543893301378,0.117751485153278,0.32576571930361,0.7873430593566656,2.284037453860884e-06,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_A_household_region_fe,A1_household_natural_sample,haz,A1_natural_sample,country_admin_region_ghana::15,0.5292029288773716,0.1120235918821612,0.3096407233695221,0.7487651343852212,2.3121506594771632e-06,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_A_household_region_fe,A1_household_natural_sample,haz,A1_natural_sample,country_admin_region_ghana::16,0.7900464547713233,0.11780396082011482,0.5591549343277307,1.020937975214916,1.9941518421985432e-11,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_A_household_region_fe,A1_household_natural_sample,haz,A1_natural_sample,country_admin_region_kenya::01,0.6061898131056714,0.11972996315338098,0.371523397454737,0.8408562287566059,4.1276394617045407e-07,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_A_household_region_fe,A1_household_natural_sample,haz,A1_natural_sample,country_admin_region_kenya::02,0.6221934200416065,0.13539810718235396,0.3568180063892987,0.8875688336939143,4.321500870215176e-06,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_A_household_region_fe,A1_household_natural_sample,haz,A1_natural_sample,country_admin_region_kenya::03,0.21046878157319468,0.10520224090663231,0.004276178303288941,0.41666138484310045,0.04543430551081448,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_A_household_region_fe,A1_household_natural_sample,haz,A1_natural_sample,country_admin_region_kenya::04,0.904589720536486,0.10736843494662211,0.694151454964675,1.115027986108297,3.604445923038743e-17,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_A_household_region_fe,A1_household_natural_sample,haz,A1_natural_sample,country_admin_region_kenya::05,0.7607745841500804,0.11509217641046068,0.535198063483247,0.9863511048169137,3.8397510164699966e-11,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_A_household_region_fe,A1_household_natural_sample,haz,A1_natural_sample,country_admin_region_kenya::06,0.6622082772952277,0.12897430357200496,0.40942328736296235,0.914993267227493,2.8301505286693727e-07,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_A_household_region_fe,A1_household_natural_sample,haz,A1_natural_sample,country_admin_region_kenya::07,1.423972250541285,0.10567779934559596,1.2168475698584664,1.6310969312241037,2.2050339857087598e-41,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_A_household_region_fe,A1_household_natural_sample,haz,A1_natural_sample,country_admin_region_kenya::08,1.5881860395546583,0.0999976500746816,1.3921942468696433,1.7841778322396733,8.412844761170635e-57,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_A_household_region_fe,A1_household_natural_sample,haz,A1_natural_sample,country_admin_region_kenya::09,1.1209608236997295,0.10768940898963236,0.9098934605636462,1.3320281868358128,2.2510033125906946e-25,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_A_household_region_fe,A1_household_natural_sample,haz,A1_natural_sample,country_admin_region_kenya::10,1.0487701339374467,0.11621870941348805,0.820985649157284,1.2765546187176093,1.8116596216895549e-19,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_A_household_region_fe,A1_household_natural_sample,haz,A1_natural_sample,country_admin_region_kenya::11,1.09507983938896,0.12540035248259843,0.8492996648744392,1.340860013903481,2.4873099476637535e-18,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_A_household_region_fe,A1_household_natural_sample,haz,A1_natural_sample,country_admin_region_kenya::12,0.46789867140839164,0.11878510521198798,0.23508414329309413,0.7007131995236892,8.181004084808295e-05,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_A_household_region_fe,A1_household_natural_sample,haz,A1_natural_sample,country_admin_region_kenya::13,0.45040985217363677,0.1159860454766651,0.22308138033014832,0.6777383240171252,0.00010304375777543448,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_A_household_region_fe,A1_household_natural_sample,haz,A1_natural_sample,country_admin_region_kenya::14,0.6161297107372693,0.13253555644204154,0.35636479343989236,0.8758946280346462,3.338910945966126e-06,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_A_household_region_fe,A1_household_natural_sample,haz,A1_natural_sample,country_admin_region_kenya::15,0.511146916144528,0.1120987632802133,0.29143737740382886,0.7308564548852272,5.120459057867587e-06,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_A_household_region_fe,A1_household_natural_sample,haz,A1_natural_sample,country_admin_region_kenya::16,0.5469165228913018,0.11832197322191577,0.31500971679663414,0.7788233289859694,3.7955711182853584e-06,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_A_household_region_fe,A1_household_natural_sample,haz,A1_natural_sample,country_admin_region_kenya::17,0.4744704470952383,0.10338475010693507,0.27184006033497204,0.6771008338555045,4.44594499463471e-06,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_A_household_region_fe,A1_household_natural_sample,haz,A1_natural_sample,country_admin_region_kenya::18,0.5945379721999915,0.13160742435930886,0.3365921603576667,0.8524837840423163,6.257081222534709e-06,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_A_household_region_fe,A1_household_natural_sample,haz,A1_natural_sample,country_admin_region_kenya::19,0.603434294385367,0.12457417960337612,0.35927338895912564,0.8475951998116084,1.2726652708897642e-06,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_A_household_region_fe,A1_household_natural_sample,haz,A1_natural_sample,country_admin_region_kenya::20,0.6419850657042204,0.1228425784942468,0.4012180360874621,0.8827520953209788,1.7314205601614119e-07,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_A_household_region_fe,A1_household_natural_sample,haz,A1_natural_sample,country_admin_region_kenya::21,0.7430672763033778,0.10663165699319802,0.534073068984881,0.9520614836218745,3.2024033216410502e-12,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_A_household_region_fe,A1_household_natural_sample,haz,A1_natural_sample,country_admin_region_kenya::22,0.48145719484808136,0.1259983736452502,0.2345049203927702,0.7284094693033925,0.00013283719966198079,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_A_household_region_fe,A1_household_natural_sample,haz,A1_natural_sample,country_admin_region_kenya::23,0.7852792689475402,0.10221937572079035,0.5849329740126231,0.9856255638824573,1.562650328165843e-14,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_A_household_region_fe,A1_household_natural_sample,haz,A1_natural_sample,country_admin_region_kenya::24,0.4022489830499593,0.09979120833281617,0.2066618087439063,0.5978361573560124,5.556225689183094e-05,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_A_household_region_fe,A1_household_natural_sample,haz,A1_natural_sample,country_admin_region_kenya::25,0.4281040095449187,0.10965966061604615,0.21317502418058282,0.6430329949092546,9.464184257611609e-05,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_A_household_region_fe,A1_household_natural_sample,haz,A1_natural_sample,country_admin_region_kenya::26,0.6185608122269954,0.10946502768846522,0.4040133003909238,0.833108324063067,1.5973818810433202e-08,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_A_household_region_fe,A1_household_natural_sample,haz,A1_natural_sample,country_admin_region_kenya::27,0.5825087402048441,0.10556539456913991,0.3756043688355697,0.7894131115741185,3.4289988875547214e-08,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_A_household_region_fe,A1_household_natural_sample,haz,A1_natural_sample,country_admin_region_kenya::28,0.5270380217755395,0.10031676468882568,0.33042077593986174,0.7236552676112172,1.4904267395077736e-07,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_A_household_region_fe,A1_household_natural_sample,haz,A1_natural_sample,country_admin_region_kenya::29,0.8215680287479784,0.11611434931903258,0.5939880859943716,1.0491479715015852,1.4890207391543037e-12,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_A_household_region_fe,A1_household_natural_sample,haz,A1_natural_sample,country_admin_region_kenya::30,0.680478011107165,0.09704329201418015,0.49027665381816843,0.8706793683961616,2.3475444680798874e-12,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_A_household_region_fe,A1_household_natural_sample,haz,A1_natural_sample,country_admin_region_kenya::31,0.7317107628510364,0.10325631362939408,0.5293321069610517,0.9340894187410211,1.376916039528454e-12,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_A_household_region_fe,A1_household_natural_sample,haz,A1_natural_sample,country_admin_region_kenya::32,0.5189947999691282,0.11986201550422329,0.284069566466469,0.7539200334717875,1.4915300017872035e-05,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_A_household_region_fe,A1_household_natural_sample,haz,A1_natural_sample,country_admin_region_kenya::33,0.6066895060803432,0.09475876798466537,0.42096573361101197,0.7924132785496745,1.5289018602313442e-10,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
model_A_household_region_fe,A1_household_natural_sample,haz,A1_natural_sample,country_admin_region_kenya::34,0.8237831008331981,0.12033469772382163,0.5879314272039936,1.0596347744624024,7.606809181447214e-12,36040,4426,114,model_specific_equal_total_country_weight,cluster_robust_country_psu,baseline cluster-robust SE (statsmodels default)
