robustness_family,model_label,outcome,country_scope,term,coefficient,standard_error,ci_lower,ci_upper,p_value,estimation_n,psu_count,fe_region_count,weight_method,clustering_method,fe_included,reference_category_metadata,preferred_model_n,baseline_n,n_excluded_by_household_wash_states
household_wash_baseline,section_9_1_transparent_baseline_no_fe,haz,pooled,maternal_education_Secondary,0.3718116397461724,0.05154273439389692,0.27078973666942047,0.4728335428229243,5.446860009621894e-13,36040,4426,0,model_specific_equal_total_country_weight,cluster_robust_country_psu,False,"{'child_sex': {'reference': 'Male', 'reference_column': 'child_sex_Male'}, 'maternal_education': {'reference': 'No education', 'reference_column': 'maternal_education_No education'}, 'literacy': {'reference': 'Cannot read at all', 'reference_column': 'literacy_Cannot read at all'}, 'wealth_quintile': {'reference': 'Poorest', 'reference_column': 'wealth_quintile_Poorest'}, 'residence': {'reference': 'Rural', 'reference_column': 'residence_Rural'}}",36985,36040,945
household_wash_baseline,section_9_1_transparent_baseline_no_fe,haz,pooled,literacy_Able to read only parts of sentence,0.07564096447182458,0.04897206307253083,-0.020342515398959787,0.17162444434260896,0.12244939291531204,36040,4426,0,model_specific_equal_total_country_weight,cluster_robust_country_psu,False,"{'child_sex': {'reference': 'Male', 'reference_column': 'child_sex_Male'}, 'maternal_education': {'reference': 'No education', 'reference_column': 'maternal_education_No education'}, 'literacy': {'reference': 'Cannot read at all', 'reference_column': 'literacy_Cannot read at all'}, 'wealth_quintile': {'reference': 'Poorest', 'reference_column': 'wealth_quintile_Poorest'}, 'residence': {'reference': 'Rural', 'reference_column': 'residence_Rural'}}",36985,36040,945
household_wash_baseline,section_9_1_transparent_baseline_no_fe,haz,pooled,literacy_Able to read whole sentence,0.15802959210625517,0.04155046390968962,0.0765921793023322,0.23946700491017814,0.00014277138221835677,36040,4426,0,model_specific_equal_total_country_weight,cluster_robust_country_psu,False,"{'child_sex': {'reference': 'Male', 'reference_column': 'child_sex_Male'}, 'maternal_education': {'reference': 'No education', 'reference_column': 'maternal_education_No education'}, 'literacy': {'reference': 'Cannot read at all', 'reference_column': 'literacy_Cannot read at all'}, 'wealth_quintile': {'reference': 'Poorest', 'reference_column': 'wealth_quintile_Poorest'}, 'residence': {'reference': 'Rural', 'reference_column': 'residence_Rural'}}",36985,36040,945
household_wash_baseline,section_9_1_transparent_baseline_no_fe,haz,pooled,literacy_Blind/visually impaired,0.9939697928958492,0.5420631922178302,-0.06845454119591043,2.056394126987609,0.06670168488275698,36040,4426,0,model_specific_equal_total_country_weight,cluster_robust_country_psu,False,"{'child_sex': {'reference': 'Male', 'reference_column': 'child_sex_Male'}, 'maternal_education': {'reference': 'No education', 'reference_column': 'maternal_education_No education'}, 'literacy': {'reference': 'Cannot read at all', 'reference_column': 'literacy_Cannot read at all'}, 'wealth_quintile': {'reference': 'Poorest', 'reference_column': 'wealth_quintile_Poorest'}, 'residence': {'reference': 'Rural', 'reference_column': 'residence_Rural'}}",36985,36040,945
household_wash_baseline,section_9_1_transparent_baseline_no_fe,haz,pooled,literacy_No card with required language,0.30672053369290514,0.28855346893823114,-0.2588338730401251,0.8722749404259353,0.28780050266383195,36040,4426,0,model_specific_equal_total_country_weight,cluster_robust_country_psu,False,"{'child_sex': {'reference': 'Male', 'reference_column': 'child_sex_Male'}, 'maternal_education': {'reference': 'No education', 'reference_column': 'maternal_education_No education'}, 'literacy': {'reference': 'Cannot read at all', 'reference_column': 'literacy_Cannot read at all'}, 'wealth_quintile': {'reference': 'Poorest', 'reference_column': 'wealth_quintile_Poorest'}, 'residence': {'reference': 'Rural', 'reference_column': 'residence_Rural'}}",36985,36040,945
household_wash_baseline,section_9_1_transparent_baseline_no_fe,haz,pooled,wealth_quintile_Middle,0.015516027948760794,0.05058802127150096,-0.08363467179252723,0.11466672769004882,0.7590614699964576,36040,4426,0,model_specific_equal_total_country_weight,cluster_robust_country_psu,False,"{'child_sex': {'reference': 'Male', 'reference_column': 'child_sex_Male'}, 'maternal_education': {'reference': 'No education', 'reference_column': 'maternal_education_No education'}, 'literacy': {'reference': 'Cannot read at all', 'reference_column': 'literacy_Cannot read at all'}, 'wealth_quintile': {'reference': 'Poorest', 'reference_column': 'wealth_quintile_Poorest'}, 'residence': {'reference': 'Rural', 'reference_column': 'residence_Rural'}}",36985,36040,945
household_wash_baseline,section_9_1_transparent_baseline_no_fe,haz,pooled,wealth_quintile_Poorer,-0.046241585127011535,0.04037778824454247,-0.12538059586169956,0.03289742560767648,0.2521166562782917,36040,4426,0,model_specific_equal_total_country_weight,cluster_robust_country_psu,False,"{'child_sex': {'reference': 'Male', 'reference_column': 'child_sex_Male'}, 'maternal_education': {'reference': 'No education', 'reference_column': 'maternal_education_No education'}, 'literacy': {'reference': 'Cannot read at all', 'reference_column': 'literacy_Cannot read at all'}, 'wealth_quintile': {'reference': 'Poorest', 'reference_column': 'wealth_quintile_Poorest'}, 'residence': {'reference': 'Rural', 'reference_column': 'residence_Rural'}}",36985,36040,945
household_wash_baseline,section_9_1_transparent_baseline_no_fe,haz,pooled,wealth_quintile_Richer,0.08530679362502283,0.05892480703793212,-0.030183705965296417,0.20079729321534207,0.14769455760669098,36040,4426,0,model_specific_equal_total_country_weight,cluster_robust_country_psu,False,"{'child_sex': {'reference': 'Male', 'reference_column': 'child_sex_Male'}, 'maternal_education': {'reference': 'No education', 'reference_column': 'maternal_education_No education'}, 'literacy': {'reference': 'Cannot read at all', 'reference_column': 'literacy_Cannot read at all'}, 'wealth_quintile': {'reference': 'Poorest', 'reference_column': 'wealth_quintile_Poorest'}, 'residence': {'reference': 'Rural', 'reference_column': 'residence_Rural'}}",36985,36040,945
household_wash_baseline,section_9_1_transparent_baseline_no_fe,haz,pooled,wealth_quintile_Richest,0.33369066264143316,0.07244744165633905,0.19169628622294177,0.47568503905992454,4.105497639198632e-06,36040,4426,0,model_specific_equal_total_country_weight,cluster_robust_country_psu,False,"{'child_sex': {'reference': 'Male', 'reference_column': 'child_sex_Male'}, 'maternal_education': {'reference': 'No education', 'reference_column': 'maternal_education_No education'}, 'literacy': {'reference': 'Cannot read at all', 'reference_column': 'literacy_Cannot read at all'}, 'wealth_quintile': {'reference': 'Poorest', 'reference_column': 'wealth_quintile_Poorest'}, 'residence': {'reference': 'Rural', 'reference_column': 'residence_Rural'}}",36985,36040,945
household_wash_baseline,section_9_1_transparent_baseline_no_fe,haz,pooled,residence_Urban,0.05256474052605296,0.03740097979906596,-0.02073983286662643,0.12586931391873235,0.15989121443992915,36040,4426,0,model_specific_equal_total_country_weight,cluster_robust_country_psu,False,"{'child_sex': {'reference': 'Male', 'reference_column': 'child_sex_Male'}, 'maternal_education': {'reference': 'No education', 'reference_column': 'maternal_education_No education'}, 'literacy': {'reference': 'Cannot read at all', 'reference_column': 'literacy_Cannot read at all'}, 'wealth_quintile': {'reference': 'Poorest', 'reference_column': 'wealth_quintile_Poorest'}, 'residence': {'reference': 'Rural', 'reference_column': 'residence_Rural'}}",36985,36040,945
