outcome,model,country_scope,term,coefficient,standard_error,ci_lower,ci_upper,p_value,estimation_n,psu_count,fe_region_count,weight_method,clustering_method,fe_included,reference_category_metadata
haz,2,ethiopia,b19_raw,-0.025195401392126834,0.0015261733614795555,-0.02818664621479119,-0.022204156569462476,3.167460473359563e-61,5843,787,0,weight_original,cluster_robust_psu,False,"{'child_sex': {'reference': 'Male', 'reference_column': 'child_sex_Male'}}"
haz,2,ethiopia,birth_order_raw,-0.03283419488313765,0.013019483177647942,-0.058351913008652716,-0.007316476757622585,0.011671370390527028,5843,787,0,weight_original,cluster_robust_psu,False,"{'child_sex': {'reference': 'Male', 'reference_column': 'child_sex_Male'}}"
haz,2,ethiopia,child_sex_Female,0.11729793766157465,0.05706954198810895,0.00544369075068471,0.22915218457246458,0.03984511893768442,5843,787,0,weight_original,cluster_robust_psu,False,"{'child_sex': {'reference': 'Male', 'reference_column': 'child_sex_Male'}}"
haz,2,ghana,const,-1.3516607547840656,0.10075296403513676,-1.549132935628593,-1.154188573939538,4.899981771893441e-41,4405,616,0,weight_original,cluster_robust_psu,False,"{'child_sex': {'reference': 'Male', 'reference_column': 'child_sex_Male'}}"
haz,2,ghana,water_rate_loo,0.10677338526038453,0.09817006725290234,-0.085636410915179,0.2991831814359481,0.2767554446601762,4405,616,0,weight_original,cluster_robust_psu,False,"{'child_sex': {'reference': 'Male', 'reference_column': 'child_sex_Male'}}"
haz,2,ghana,sanitation_rate_loo_core,0.5572101246736777,0.09181008306400851,0.3772656684505903,0.7371545808967651,1.2858063975306883e-09,4405,616,0,weight_original,cluster_robust_psu,False,"{'child_sex': {'reference': 'Male', 'reference_column': 'child_sex_Male'}}"
haz,2,ghana,b19_raw,-0.004384853691569959,0.0015932644965370659,-0.007507594722628949,-0.0012621126605109677,0.005921097795816083,4405,616,0,weight_original,cluster_robust_psu,False,"{'child_sex': {'reference': 'Male', 'reference_column': 'child_sex_Male'}}"
haz,2,ghana,birth_order_raw,0.013870920136187728,0.013512761163997375,-0.012613605076938665,0.04035544534931412,0.304653495153828,4405,616,0,weight_original,cluster_robust_psu,False,"{'child_sex': {'reference': 'Male', 'reference_column': 'child_sex_Male'}}"
haz,2,ghana,child_sex_Female,0.1445543156264001,0.053757872352813325,0.03919082192938447,0.2499178093234157,0.007166882791378077,4405,616,0,weight_original,cluster_robust_psu,False,"{'child_sex': {'reference': 'Male', 'reference_column': 'child_sex_Male'}}"
haz,2,kenya,const,-1.3772542601616258,0.05448896051681289,-1.484050660329604,-1.2704578599936476,5.889958606303249e-141,17327,1688,0,weight_original,cluster_robust_psu,False,"{'child_sex': {'reference': 'Male', 'reference_column': 'child_sex_Male'}}"
haz,2,kenya,water_rate_loo,0.3691694133568947,0.05750314702725705,0.2564653161857594,0.48187351052802996,1.3628665277933993e-10,17327,1688,0,weight_original,cluster_robust_psu,False,"{'child_sex': {'reference': 'Male', 'reference_column': 'child_sex_Male'}}"
haz,2,kenya,sanitation_rate_loo_core,0.4061162143034637,0.06354410412263761,0.2815720587932308,0.5306603698136966,1.647052631831626e-10,17327,1688,0,weight_original,cluster_robust_psu,False,"{'child_sex': {'reference': 'Male', 'reference_column': 'child_sex_Male'}}"
haz,2,kenya,b19_raw,-0.0014856178227647299,0.0007810097498320095,-0.003016368804010106,4.513315848064629e-05,0.05714817930268374,17327,1688,0,weight_original,cluster_robust_psu,False,"{'child_sex': {'reference': 'Male', 'reference_column': 'child_sex_Male'}}"
haz,2,kenya,birth_order_raw,-0.030119338015144416,0.006654207143693532,-0.043161344362452884,-0.017077331667835947,6.000828012086305e-06,17327,1688,0,weight_original,cluster_robust_psu,False,"{'child_sex': {'reference': 'Male', 'reference_column': 'child_sex_Male'}}"
haz,2,kenya,child_sex_Female,0.1470114843000868,0.027824933262280468,0.09247561723378647,0.2015473513663871,1.2677744025554582e-07,17327,1688,0,weight_original,cluster_robust_psu,False,"{'child_sex': {'reference': 'Male', 'reference_column': 'child_sex_Male'}}"
haz,2,nigeria,const,-1.6569015053633096,0.08597564560857233,-1.8254106743036906,-1.4883923364229286,9.273882871071504e-83,9410,1343,0,weight_original,cluster_robust_psu,False,"{'child_sex': {'reference': 'Male', 'reference_column': 'child_sex_Male'}}"
haz,2,nigeria,water_rate_loo,0.6448742401040383,0.10787029858293189,0.4334523398799097,0.8562961403281668,2.2556502734327656e-09,9410,1343,0,weight_original,cluster_robust_psu,False,"{'child_sex': {'reference': 'Male', 'reference_column': 'child_sex_Male'}}"
haz,2,nigeria,sanitation_rate_loo_core,0.29560535317084935,0.09055648447290603,0.11811790503739292,0.47309280130430575,0.0010972711767210106,9410,1343,0,weight_original,cluster_robust_psu,False,"{'child_sex': {'reference': 'Male', 'reference_column': 'child_sex_Male'}}"
haz,2,nigeria,b19_raw,-0.015384433209128768,0.0012125408308584907,-0.017760969567395684,-0.013007896850861853,6.913038515146533e-37,9410,1343,0,weight_original,cluster_robust_psu,False,"{'child_sex': {'reference': 'Male', 'reference_column': 'child_sex_Male'}}"
haz,2,nigeria,birth_order_raw,-0.07938988646250977,0.00829533078923126,-0.09564843604924926,-0.06313133687577029,1.064614817036161e-21,9410,1343,0,weight_original,cluster_robust_psu,False,"{'child_sex': {'reference': 'Male', 'reference_column': 'child_sex_Male'}}"
haz,2,nigeria,child_sex_Female,0.20950820665356645,0.035276044465794486,0.14036842998357577,0.2786479833235571,2.8657858576514622e-09,9410,1343,0,weight_original,cluster_robust_psu,False,"{'child_sex': {'reference': 'Male', 'reference_column': 'child_sex_Male'}}"
haz,3,pooled,const,-2.1206931057691776,0.09205876240400569,-2.3011249645423586,-1.9402612469959966,2.0181870407578168e-117,36985,4434,0,model_specific_equal_total_country_weight,cluster_robust_country_psu,False,"{'child_sex': {'reference': 'Male', 'reference_column': 'child_sex_Male'}, 'maternal_education': {'reference': 'No education', 'reference_column': 'maternal_education_No education'}, 'literacy': {'reference': 'Cannot read at all', 'reference_column': 'literacy_Cannot read at all'}, 'wealth_quintile': {'reference': 'Poorest', 'reference_column': 'wealth_quintile_Poorest'}, 'residence': {'reference': 'Rural', 'reference_column': 'residence_Rural'}}"
haz,3,pooled,water_rate_loo,0.12681925600205418,0.059815101668650186,0.00958381099989812,0.24405470100421023,0.033990200727133636,36985,4434,0,model_specific_equal_total_country_weight,cluster_robust_country_psu,False,"{'child_sex': {'reference': 'Male', 'reference_column': 'child_sex_Male'}, 'maternal_education': {'reference': 'No education', 'reference_column': 'maternal_education_No education'}, 'literacy': {'reference': 'Cannot read at all', 'reference_column': 'literacy_Cannot read at all'}, 'wealth_quintile': {'reference': 'Poorest', 'reference_column': 'wealth_quintile_Poorest'}, 'residence': {'reference': 'Rural', 'reference_column': 'residence_Rural'}}"
haz,3,pooled,sanitation_rate_loo_core,0.008035422309472963,0.06374111744195031,-0.1168948722110875,0.13296571683003344,0.8996817348206887,36985,4434,0,model_specific_equal_total_country_weight,cluster_robust_country_psu,False,"{'child_sex': {'reference': 'Male', 'reference_column': 'child_sex_Male'}, 'maternal_education': {'reference': 'No education', 'reference_column': 'maternal_education_No education'}, 'literacy': {'reference': 'Cannot read at all', 'reference_column': 'literacy_Cannot read at all'}, 'wealth_quintile': {'reference': 'Poorest', 'reference_column': 'wealth_quintile_Poorest'}, 'residence': {'reference': 'Rural', 'reference_column': 'residence_Rural'}}"
haz,3,pooled,b19_raw,-0.013871757408272175,0.0007673183774876017,-0.015375673792823584,-0.012367841023720766,4.730315625750119e-73,36985,4434,0,model_specific_equal_total_country_weight,cluster_robust_country_psu,False,"{'child_sex': {'reference': 'Male', 'reference_column': 'child_sex_Male'}, 'maternal_education': {'reference': 'No education', 'reference_column': 'maternal_education_No education'}, 'literacy': {'reference': 'Cannot read at all', 'reference_column': 'literacy_Cannot read at all'}, 'wealth_quintile': {'reference': 'Poorest', 'reference_column': 'wealth_quintile_Poorest'}, 'residence': {'reference': 'Rural', 'reference_column': 'residence_Rural'}}"
haz,3,pooled,birth_order_raw,-0.06581471183059477,0.009680763881133493,-0.0847886603804526,-0.046840763280736934,1.057110892072047e-11,36985,4434,0,model_specific_equal_total_country_weight,cluster_robust_country_psu,False,"{'child_sex': {'reference': 'Male', 'reference_column': 'child_sex_Male'}, 'maternal_education': {'reference': 'No education', 'reference_column': 'maternal_education_No education'}, 'literacy': {'reference': 'Cannot read at all', 'reference_column': 'literacy_Cannot read at all'}, 'wealth_quintile': {'reference': 'Poorest', 'reference_column': 'wealth_quintile_Poorest'}, 'residence': {'reference': 'Rural', 'reference_column': 'residence_Rural'}}"
haz,3,pooled,maternal_age,0.034042494272447585,0.0030610624531266723,0.02804292210989148,0.04004206643500369,9.900239150246807e-29,36985,4434,0,model_specific_equal_total_country_weight,cluster_robust_country_psu,False,"{'child_sex': {'reference': 'Male', 'reference_column': 'child_sex_Male'}, 'maternal_education': {'reference': 'No education', 'reference_column': 'maternal_education_No education'}, 'literacy': {'reference': 'Cannot read at all', 'reference_column': 'literacy_Cannot read at all'}, 'wealth_quintile': {'reference': 'Poorest', 'reference_column': 'wealth_quintile_Poorest'}, 'residence': {'reference': 'Rural', 'reference_column': 'residence_Rural'}}"
haz,3,pooled,household_size_raw,-0.016955300836019448,0.005527870016689938,-0.027789726979950552,-0.006120874692088342,0.0021604573532948645,36985,4434,0,model_specific_equal_total_country_weight,cluster_robust_country_psu,False,"{'child_sex': {'reference': 'Male', 'reference_column': 'child_sex_Male'}, 'maternal_education': {'reference': 'No education', 'reference_column': 'maternal_education_No education'}, 'literacy': {'reference': 'Cannot read at all', 'reference_column': 'literacy_Cannot read at all'}, 'wealth_quintile': {'reference': 'Poorest', 'reference_column': 'wealth_quintile_Poorest'}, 'residence': {'reference': 'Rural', 'reference_column': 'residence_Rural'}}"
